#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64984e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71374e-06 
 2.10        4.10816e+00        -2.75242e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89500e-05 
 2.80        4.10632e+00        -5.73931e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21102e-04 
 3.50        4.10448e+00        -8.78475e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82750e-04 
 4.20        4.10265e+00        -1.18877e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.43903e-04 
 4.90        4.10081e+00        -1.50470e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04570e-04 
 5.60        4.09898e+00        -1.82616e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.64756e-04 
 6.30        4.09714e+00        -2.15305e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.24471e-04 
 7.00        4.09531e+00        -2.48527e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.83722e-04 
 7.70        4.09347e+00        -2.82271e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.42515e-04 
 8.40        4.09164e+00        -3.16527e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.00858e-04 
 9.10        4.08980e+00        -3.51284e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.58756e-04 
 9.80        4.08796e+00        -3.86533e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.16217e-04 
 10.50        4.08612e+00        -4.22264e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.73247e-04 
 11.20        4.08427e+00        -4.58467e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.29852e-04 
 11.90        4.08242e+00        -4.95131e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.86038e-04 
 12.60        4.08057e+00        -5.32248e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.41810e-04 
 13.30        4.07871e+00        -5.69808e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.97173e-04 
 14.00        4.07685e+00        -6.07801e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05213e-03 
 14.70        4.07498e+00        -6.46217e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.10670e-03 
 15.40        4.07310e+00        -6.85047e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.16087e-03 
 16.10        4.07122e+00        -7.24282e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.21465e-03 
 16.80        4.06933e+00        -7.63913e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.26804e-03 
 17.50        4.06744e+00        -8.03930e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.32106e-03 
 18.20        4.06554e+00        -8.44325e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.37371e-03 
 18.90        4.06363e+00        -8.85087e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.42598e-03 
 19.60        4.06171e+00        -9.26208e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.47788e-03 
 20.30        4.05978e+00        -9.67680e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.52943e-03 
 21.00        4.05784e+00        -1.00949e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.58061e-03 
 21.70        4.05589e+00        -1.05164e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.63143e-03 
 22.40        4.05393e+00        -1.09411e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.68191e-03 
 23.10        4.05196e+00        -1.13689e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.73203e-03 
 23.80        4.04998e+00        -1.17998e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.78181e-03 
 24.50        4.04799e+00        -1.22337e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.83124e-03 
 25.20        4.04598e+00        -1.26704e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.88034e-03 
 25.90        4.04396e+00        -1.31100e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92909e-03 
 26.60        4.04193e+00        -1.35523e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.97751e-03 
 27.30        4.03989e+00        -1.39972e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.02560e-03 
 28.00        4.03783e+00        -1.44447e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.07336e-03 
 28.70        4.03575e+00        -1.48946e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.12079e-03 
 29.40        4.03367e+00        -1.53470e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.16789e-03 
 30.10        4.03156e+00        -1.58016e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.21467e-03 
 30.80        4.02944e+00        -1.62585e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.26113e-03 
 31.50        4.02730e+00        -1.67175e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.30727e-03 
 32.20        4.02515e+00        -1.71785e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.35309e-03 
 32.90        4.02298e+00        -1.76416e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.39859e-03 
 33.60        4.02079e+00        -1.81066e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.44378e-03 
 34.30        4.01858e+00        -1.85734e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.48865e-03 
 35.00        4.01636e+00        -1.90419e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.53322e-03 
 35.70        4.01411e+00        -1.95121e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.57747e-03 
 36.40        4.01185e+00        -1.99839e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.62141e-03 
 37.10        4.00957e+00        -2.04572e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.66505e-03 
 37.80        4.00727e+00        -2.09320e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.70838e-03 
 38.50        4.00494e+00        -2.14081e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.75140e-03 
 39.20        4.00260e+00        -2.18855e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.79412e-03 
 39.90        4.00023e+00        -2.23642e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.83654e-03 
 40.60        3.99785e+00        -2.28439e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.87865e-03 
 41.30        3.99544e+00        -2.33248e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.92046e-03 
 42.00        3.99301e+00        -2.38066e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.96197e-03 
 42.70        3.99056e+00        -2.42894e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.00317e-03 
 43.40        3.98808e+00        -2.47730e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.04408e-03 
 44.10        3.98558e+00        -2.52574e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.08469e-03 
 44.80        3.98306e+00        -2.57425e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.12500e-03 
 45.50        3.98051e+00        -2.62282e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.16502e-03 
 46.20        3.97794e+00        -2.67145e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.20473e-03 
 46.90        3.97535e+00        -2.72013e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.24415e-03 
 47.60        3.97273e+00        -2.76885e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.28327e-03 
 48.30        3.97008e+00        -2.81761e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.32210e-03 
