#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38136e-05        0.00000e+00 
 1.40        4.11000e+00        1.64115e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68358e-03        0.00000e+00 
 2.80        4.10632e+00        -5.41160e-03        0.00000e+00 
 3.50        4.10448e+00        -8.02057e-03        0.00000e+00 
 4.20        4.10265e+00        -1.05111e-02        0.00000e+00 
 4.90        4.10082e+00        -1.28837e-02        0.00000e+00 
 5.60        4.09899e+00        -1.51389e-02        0.00000e+00 
 6.30        4.09716e+00        -1.72774e-02        0.00000e+00 
 7.00        4.09534e+00        -1.92996e-02        0.00000e+00 
 7.70        4.09352e+00        -2.12060e-02        0.00000e+00 
 8.40        4.09170e+00        -2.29972e-02        0.00000e+00 
 9.10        4.08988e+00        -2.46736e-02        0.00000e+00 
 9.80        4.08806e+00        -2.62358e-02        0.00000e+00 
 10.50        4.08624e+00        -2.76841e-02        0.00000e+00 
 11.20        4.08442e+00        -2.90191e-02        0.00000e+00 
 11.90        4.08261e+00        -3.02412e-02        0.00000e+00 
 12.60        4.08079e+00        -3.13509e-02        0.00000e+00 
 13.30        4.07898e+00        -3.23485e-02        0.00000e+00 
 14.00        4.07716e+00        -3.32345e-02        0.00000e+00 
 14.70        4.07535e+00        -3.40093e-02        0.00000e+00 
 15.40        4.07353e+00        -3.46733e-02        0.00000e+00 
 16.10        4.07171e+00        -3.52269e-02        0.00000e+00 
 16.80        4.06989e+00        -3.56704e-02        0.00000e+00 
 17.50        4.06807e+00        -3.60044e-02        0.00000e+00 
 18.20        4.06625e+00        -3.62291e-02        0.00000e+00 
 18.90        4.06442e+00        -3.63450e-02        0.00000e+00 
 19.60        4.06259e+00        -3.63523e-02        0.00000e+00 
 20.30        4.06076e+00        -3.62515e-02        0.00000e+00 
 21.00        4.05893e+00        -3.60430e-02        0.00000e+00 
 21.70        4.05709e+00        -3.57270e-02        0.00000e+00 
 22.40        4.05524e+00        -3.53040e-02        0.00000e+00 
 23.10        4.05340e+00        -3.47742e-02        0.00000e+00 
 23.80        4.05154e+00        -3.41381e-02        0.00000e+00 
 24.50        4.04968e+00        -3.33960e-02        0.00000e+00 
 25.20        4.04782e+00        -3.25483e-02        0.00000e+00 
 25.90        4.04595e+00        -3.15952e-02        0.00000e+00 
 26.60        4.04407e+00        -3.05372e-02        0.00000e+00 
 27.30        4.04218e+00        -2.93745e-02        0.00000e+00 
 28.00        4.04029e+00        -2.81076e-02        0.00000e+00 
 28.70        4.03839e+00        -2.67368e-02        0.00000e+00 
 29.40        4.03648e+00        -2.52624e-02        0.00000e+00 
 30.10        4.03456e+00        -2.36847e-02        0.00000e+00 
 30.80        4.03263e+00        -2.20043e-02        0.00000e+00 
 31.50        4.03068e+00        -2.02213e-02        0.00000e+00 
 32.20        4.02873e+00        -1.83362e-02        0.00000e+00 
 32.90        4.02677e+00        -1.63492e-02        0.00000e+00 
 33.60        4.02479e+00        -1.42609e-02        0.00000e+00 
 34.30        4.02281e+00        -1.20715e-02        0.00000e+00 
 35.00        4.02081e+00        -9.78144e-03        0.00000e+00 
 35.70        4.01879e+00        -7.39107e-03        0.00000e+00 
 36.40        4.01676e+00        -4.90079e-03        0.00000e+00 
 37.10        4.01472e+00        -2.31098e-03        0.00000e+00 
 37.80        4.01266e+00        3.77976e-04        0.00000e+00 
 38.50        4.01059e+00        3.16567e-03        0.00000e+00 
 39.20        4.00850e+00        6.05170e-03        0.00000e+00 
 39.90        4.00639e+00        9.03565e-03        0.00000e+00 
