#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64871e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86440e-06 
 1.40        4.11000e+00        1.74782e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71535e-06 
 2.10        4.10816e+00        -2.75212e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89604e-05 
 2.80        4.10632e+00        -5.73791e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21152e-04 
 3.50        4.10448e+00        -8.78151e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82867e-04 
 4.20        4.10265e+00        -1.18818e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.44114e-04 
 4.90        4.10081e+00        -1.50379e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04902e-04 
 5.60        4.09898e+00        -1.82485e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.65239e-04 
 6.30        4.09714e+00        -2.15127e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.25131e-04 
 7.00        4.09531e+00        -2.48295e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.84586e-04 
 7.70        4.09347e+00        -2.81978e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.43611e-04 
 8.40        4.09164e+00        -3.16166e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.02214e-04 
 9.10        4.08980e+00        -3.50850e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.60400e-04 
 9.80        4.08796e+00        -3.86018e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.18176e-04 
 10.50        4.08612e+00        -4.21663e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.75549e-04 
 11.20        4.08427e+00        -4.57772e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.32523e-04 
 11.90        4.08242e+00        -4.94338e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.89106e-04 
 12.60        4.08057e+00        -5.31350e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.45302e-04 
 13.30        4.07871e+00        -5.68798e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.00112e-03 
 14.00        4.07684e+00        -6.06674e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05656e-03 
 14.70        4.07497e+00        -6.44968e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.11162e-03 
 15.40        4.07310e+00        -6.83670e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.16633e-03 
 16.10        4.07122e+00        -7.22771e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.22067e-03 
 16.80        4.06933e+00        -7.62262e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.27465e-03 
 17.50        4.06743e+00        -8.02134e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.32828e-03 
 18.20        4.06553e+00        -8.42378e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.38156e-03 
 18.90        4.06362e+00        -8.82984e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.43450e-03 
 19.60        4.06170e+00        -9.23945e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.48709e-03 
 20.30        4.05977e+00        -9.65250e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.53935e-03 
 21.00        4.05783e+00        -1.00689e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.59127e-03 
